"first","last","PASSING_ATT","PASSING_CMP","PASSING_YDS","PASSING_TDS","PASSING_INTS","RUSHING_ATT","RUSHING_YDS","RUSHING_TDS","MISC_FL","MISC_FPTS","position","RECEIVING_REC","RECEIVING_YDS","RECEIVING_TDS"
"patrick","mahomes",581.5,379.9,4781.6,36.2,13.3,52.4,220.5,2,2,339.3,"QB",0,0,0
"deshaun","watson",511.5,337.8,4072.3,26.4,12,95.2,501.2,4.4,2.7,315.6,"QB",0,0,0
"aaron","rodgers",590,374.8,4283.3,29.5,7.6,46.2,260.5,2.1,2.1,308.6,"QB",0,0,0
"matt","ryan",584.5,394.9,4633.8,30,10.6,48.2,131.9,1.5,2.1,301.9,"QB",0,0,0
"andrew","luck",577,379.2,4330,31.9,13.7,49.7,210.2,1.2,2.4,296.6,"QB",0,0,0
"cam","newton",520.2,339.6,3805.2,24.4,13.8,112.9,510.4,4.4,1.7,296.5,"QB",0,0,0
"drew","brees",538.8,387.4,4340.9,30.6,8.8,24.7,39.2,1.9,1.6,290.7,"QB",0,0,0
"jameis","winston",564.5,358.9,4454,27.5,16.6,57,277.2,1.6,2.7,287.1,"QB",0,0,0
"dak","prescott",522.7,344.7,3862,23.7,10.8,68,311.2,5.3,2.3,285.9,"QB",0,0,0
"carson","wentz",568.9,376.8,4245.6,30.1,12.2,52.4,192.4,1,2.6,285.8,"QB",0,0,0
"baker","mayfield",561.9,361.1,4309.9,30.9,14.5,47.1,182.6,0.9,2.4,285.7,"QB",0,0,0
"jared","goff",549.3,351,4367.5,30.3,11.7,31.1,102.9,1.2,2.2,285.6,"QB",0,0,0
"ben","roethlisberger",620.4,407.3,4651.8,29.4,15.2,23.3,74.2,1.2,1.8,284.4,"QB",0,0,0
"russell","wilson",454.7,292.8,3570.4,27.8,9.5,73,361.8,2,2.1,279.3,"QB",0,0,0
"lamar","jackson",436,258.7,3013.4,17.4,10.8,177.7,829.4,6.4,5.2,279.3,"QB",0,0,0
"tom","brady",580.7,379.1,4371.5,29.2,10.8,20.8,37.6,1,1.5,277.1,"QB",0,0,0
"mitch","trubisky",513.8,334.6,3776.5,25.1,13,66.2,378.7,2.4,2.4,272.9,"QB",0,0,0
"kirk","cousins",573.3,394.9,4154.7,27.4,11.9,38.8,133.2,1.9,2.4,271.5,"QB",0,0,0
"philip","rivers",546.8,360.7,4371.5,29.7,12.3,13.7,24.4,0.2,1.4,270,"QB",0,0,0
"kyler","murray",544.5,336.1,3722.2,21.4,14.5,107,505.1,3.1,3.2,268.4,"QB",0,0,0
"josh","allen",478.6,270.1,3204.7,17.4,14.4,102.5,609.4,6.2,2.7,261.8,"QB",0,0,0
"jimmy","garoppolo",520.2,333.9,4069.8,25.2,14.4,37.7,123.4,1.3,2,250.6,"QB",0,0,0
"derek","carr",570.5,379.6,4105.2,23.9,12.3,24.5,68.6,0.6,2.1,241.9,"QB",0,0,0
"matthew","stafford",557.6,367.5,3940.1,24,11.4,28.9,77.9,0.7,1.7,239.4,"QB",0,0,0
"andy","dalton",536.8,333.4,3706,24.2,13.7,32.9,120.2,0.9,1.7,231.3,"QB",0,0,0
"sam","darnold",531.7,322.2,3671.8,22.9,15.6,47.9,188.4,1.6,2.2,231.1,"QB",0,0,0
"marcus","mariota",446.1,293.4,3263.5,18.3,12.6,70.2,358,2.6,2.4,225.3,"QB",0,0,0
"nick","foles",532.2,339.1,3783.1,21.6,13.4,33.1,76.5,0.9,2,220.3,"QB",0,0,0
"joe","flacco",470,289.1,3212.8,17.8,11.8,24.1,91.1,0.9,1.3,188.1,"QB",0,0,0
"eli","manning",467.9,294.8,3219.4,18.2,10.3,19.5,48.4,1,2,187.4,"QB",0,0,0
"ryan","fitzpatrick",302.7,189.5,2545.5,15.2,11.1,29.3,185,1.4,1,164.8,"QB",0,0,0
"dwayne","haskins",341.7,209.5,2346.3,12.2,10.1,15.5,55.2,0.5,1.4,128.1,"QB",0,0,0
"case","keenum",177.7,108.2,1387.9,7.8,5.9,13.4,59.5,0.6,0.7,82.7,"QB",0,0,0
"josh","rosen",217.8,132.9,1300.2,6.5,6.1,14.7,61,0.3,1.5,71.2,"QB",0,0,0
"daniel","jones",118.9,73.9,908.9,4.9,3.9,8.7,44.2,0.3,0.9,52.8,"QB",0,0,0
"drew","lock",111.3,68.6,772.4,4.1,3.2,8.8,37.4,0.3,0.4,45.4,"QB",0,0,0
"c.j.","beathard",69.5,41,478,2.5,2,4,13,0,0,26.4,"QB",0,0,0
"taysom","hill",9.5,5.9,120,0.5,0.5,35.1,142.4,1.1,0.5,25.7,"QB",0,0,0
"jacoby","brissett",43.8,27,307.3,2.2,1,4.2,16.2,0.1,0.3,20.6,"QB",0,0,0
"nate","sudfeld",39.2,23.1,273.1,2.2,1.8,2.9,13,0,0,17.4,"QB",0,0,0
"jeff","driskel",34,19.9,262.6,1.4,1,4.1,16.7,0.1,0.1,16.2,"QB",0,0,0
"ryan","tannehill",35.2,21.9,280.4,1.5,1.5,4,14.6,0.1,0.1,15.9,"QB",0,0,0
"blaine","gabbert",33.4,20.2,234.6,1.5,1,2,9.3,0.1,0.1,14.4,"QB",0,0,0
"gardner","minshew",37.5,22,268.7,1.3,1.6,2,6.3,0.1,0.1,13.7,"QB",0,0,0
"will","grier",33.4,21.4,252.6,1.2,1,1.8,3.8,0.1,0.1,13.6,"QB",0,0,0
"colt","mccoy",34,21.2,240.7,1.3,1.1,2.7,8.9,0,0.4,13.1,"QB",0,0,0
"nick","mullens",31.4,19.8,230.8,1.2,1,2.2,2.2,0,0.1,12.1,"QB",0,0,0
"chase","daniel",27,16.7,195.2,1.2,0.8,2.7,7.2,0,0.1,11.8,"QB",0,0,0
"john","lovett",0,0,266.1,0.8,1.6,0,0.6,0.2,0.1,11.8,"QB",0,0,0
"blake","bortles",20.3,12.3,178.1,0.9,0.6,3.4,14,0.1,0.1,11.5,"QB",0,0,0
"robert","griffin",24.5,15.1,186.4,1,0.8,3.3,11.9,0.1,0.2,11.5,"QB",0,0,0
"josh","mccown",26.1,16.3,177.3,1.2,0.8,2.4,9.8,0.1,0.1,11.2,"QB",0,0,0
"taylor","heinicke",28,18.3,187.6,0.8,0.9,2.4,10.5,0.1,0,10.4,"QB",0,0,0
"brett","hundley",26.9,16,178.1,0.9,0.7,2,9.3,0.1,0.1,10.2,"QB",0,0,0
"paxton","lynch",19.4,12.2,158.3,0.9,0.6,2.9,10,0.1,0,10,"QB",0,0,0
"jarrett","stidham",18,12,137,1,0,1,4,0,0,9.9,"QB",0,0,0
"teddy","bridgewater",21.6,13.3,160.3,1,0.5,2.8,5.3,0,0,9.8,"QB",0,0,0
"trevor","siemian",26,15.6,182.4,0.9,1,2.1,6.9,0.1,0,9.7,"QB",0,0,0
"matt","barkley",24.7,15.1,185.3,0.9,1,2.5,3.8,0,0.1,9.5,"QB",0,0,0
"tyrod","taylor",17.6,10.8,128.4,0.7,0.6,2.6,10.2,0.1,0,8.3,"QB",0,0,0
"ryan","finley",19.5,11.8,128.2,0.9,0.4,0.8,2.6,0,0.1,8.2,"QB",0,0,0
"joshua","dobbs",21.3,13.1,130.2,0.8,0.7,2.3,9.7,0,0,8.2,"QB",0,0,0
"cooper","rush",20,12.3,131,0.6,0.3,1.6,7.7,0,0,8,"QB",0,0,0
"brian","hoyer",18.1,11,138.6,0.6,0.7,2.6,4.3,0.1,0.1,7.5,"QB",0,0,0
"chad","henne",16.6,10.5,126.4,0.6,0.2,1.9,2.9,0,0,7.3,"QB",0,0,0
"drew","stanton",18,10.7,140.8,0.6,0.8,1.8,6.5,0,0,7.2,"QB",0,0,0
"deshone","kizer",18.4,10.9,132.8,0.5,0.7,1.9,8,0.1,0.1,7,"QB",0,0,0
"mike","glennon",19.2,12.3,142,0.7,0.5,1.6,1.6,0,0.5,6.5,"QB",0,0,0
"aj","mccarron",15.2,9.6,110,0.7,0.4,1.9,2.8,0,0.1,6.3,"QB",0,0,0
"matt","schaub",16,10.1,101.5,0.5,0.3,1.2,3.1,0,0.1,5.9,"QB",0,0,0
"sean","mannion",13.6,8.3,92.5,0.3,0.1,2.3,4.6,0.1,0.1,5.2,"QB",0,0,0
"tom","savage",11.6,7.2,76.9,0.5,0.4,1.4,2.2,0,0.6,3.3,"QB",0,0,0
"josh","johnson",7.4,4.2,45.5,0.2,0.3,1.2,5.3,0,0,2.8,"QB",0,0,0
"garrett","gilbert",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"kyle","allen",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"geno","smith",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"tyler","bray",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"cardale","jones",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"chad","kelly",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"jake","rudock",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"kevin","hogan",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"joe","webb",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"alex","tanney",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"kyle","lauletta",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"cody","kessler",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"nathan","peterman",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"danny","etling",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"mason","rudolph",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"ryan","griffin",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"nick","fitzgerald",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"brett","rypien",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"tyree","jackson",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"david","fales",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"davis","webb",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"easton","stick",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"trace","mcsorley",0,0,0,0,0,5.4,27.2,0.2,0,0,"QB",0,0,0
"clayton","thorson",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"joe","callahan",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"luke","falk",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"mike","white",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"logan","woodside",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"tim","boyle",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"alex","mcgough",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"kyle","sloter",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"brandon","allen",0,0,0,0,0,0,0,0,0,0,"QB",0,0,0
"deandre","hopkins",0,0,0,0,0,0.5,-0.6,0,0.9,205.3,"WR",104.5,1464.5,10.1
"julio","jones",0,0,0,0,0,1.6,10.8,0,0.9,204.3,"WR",106.1,1553.7,8.3
"tyreek","hill",0,0,0,0,0,14.4,103.7,1,0.5,200.2,"WR",82.6,1316.8,8.9
"davante","adams",0,0,0,0,0,0,0,0,0.5,196.4,"WR",104.7,1330.7,10.7
"juju","smith-schuster",0,0,0,0,0,0.5,4.5,0,0.5,191,"WR",104,1389.9,8.8
"michael","thomas",0,0,0,0,0,0,0,0,0.6,182.9,"WR",113.1,1338.5,8.4
"mike","evans",0,0,0,0,0,0,0,0,0.5,182.7,"WR",87.1,1389,7.5
"odell","beckham",0,0,0,0,0,4.1,16.9,0,0.5,180,"WR",89,1249.1,9
"antonio","brown",0,0,0,0,0,0,0,0,0.5,174.6,"WR",95.2,1221.4,8.9
"keenan","allen",0,0,0,0,0,3.7,27.6,0,0.6,169.2,"WR",98,1273.7,6.7
"t.y.","hilton",0,0,0,0,0,0,0,0,0.5,163.6,"WR",79.9,1255.8,6.5
"adam","thielen",0,0,0,0,0,3.6,20.9,0,0.5,158.6,"WR",90.5,1171.4,6.7
"brandin","cooks",0,0,0,0,0,7.6,46.4,0.4,0.5,156.2,"WR",74.6,1134.7,6.1
"julian","edelman",0,0,0,0,0,8.3,76.5,0.2,0.5,155.9,"WR",91.9,1100.1,6.3
"amari","cooper",0,0,0,0,0,1.2,9.2,0,0.6,154.9,"WR",80.3,1092,7.7
"robert","woods",0,0,0,0,0,11.9,84.8,0.8,0.5,152.2,"WR",78.4,1062.9,5.7
"stefon","diggs",0,0,0,0,0,7.1,35.2,0,0.5,149.5,"WR",90.4,1018.8,7.5
"tyler","lockett",0,0,0,0,0,8.7,54.3,0.1,0.5,149,"WR",64.7,1021.4,7
"kenny","golladay",0,0,0,0,0,0.9,6.8,0,0.5,145.4,"WR",74,1090.6,6.1
"cooper","kupp",0,0,0,0,0,3.6,22.9,0,0.5,140.5,"WR",70.7,943.7,7.4
"chris","godwin",0,0,0,0,0,0,0,0,0.6,135.6,"WR",73.1,992.1,6.3
"tyler","boyd",0,0,0,0,0,1,3.4,0,0.4,133.1,"WR",76.2,989.9,5.8
"mike","williams",0,0,0,0,0,3.7,19.4,0.3,0.1,132,"WR",56.9,836.3,7.4
"a.j.","green",0,0,0,0,0,0,0,0,0.9,130.2,"WR",64.7,940.6,6.3
"alshon","jeffery",0,0,0,0,0,0,0,0,0.5,127.7,"WR",66.1,896.4,6.5
"robby","anderson",0,0,0,0,0,3.1,11.3,0,0.5,127.5,"WR",58.7,869.6,6.7
"d.j.","moore",0,0,0,0,0,13,127.8,0.1,1.3,126.2,"WR",64.9,891.4,4.4
"allen","robinson",0,0,0,0,0,0.6,3.9,0.1,0.5,125.8,"WR",66.1,919.3,5.7
"sammy","watkins",0,0,0,0,0,2.6,19.2,0,0.5,124.9,"WR",62.9,886.1,5.9
"calvin","ridley",0,0,0,0,0,5.5,28.7,0,0.5,123.7,"WR",64.2,808.1,6.8
"josh","gordon",0,0,0,0,0,0,0,0,0.6,121.1,"WR",52.7,873.7,5.8
"jarvis","landry",0,0,0,0,0,3.5,30.8,0.3,0.5,120.9,"WR",73,863.1,5.1
"marvin","jones",0,0,0,0,0,0,0,0,0.4,118.6,"WR",55.8,827.7,6.1
"christian","kirk",0,0,0,0,0,2.2,18.2,0,0.5,116.2,"WR",65.4,864.1,4.8
"dante","pettis",0,0,0,0,0,0.9,0.1,0,0.4,113.8,"WR",56.1,796.6,5.8
"sterling","shepard",0,0,0,0,0,2.6,16.1,0,0.4,113.1,"WR",64.6,846.4,4.6
"will","fuller",0,0,0,0,0,0.5,2.4,0,0.4,112.6,"WR",54.6,790.7,5.7
"curtis","samuel",0,0,0,0,0,10.8,97.6,1.1,0.4,112.4,"WR",54.4,679.3,4.8
"dede","westbrook",0,0,0,0,0,4.7,40.1,0,1,110.2,"WR",67.6,778.4,5
"corey","davis",0,0,0,0,0,4,32.4,0,0.5,108.1,"WR",60.9,799.4,4.3
"larry","fitzgerald",0,0,0,0,0,0,0,0,0.5,107.3,"WR",69,754.5,5.5
"emmanuel","sanders",0,0,0,0,0,1.5,14.4,0.3,0.5,105,"WR",65.3,791.1,4
"kenny","stills",0,0,0,0,0,0,0,0,0.5,101,"WR",48.1,726.5,4.9
"desean","jackson",0,0,0,0,0,4.1,27.9,0.4,0.4,100,"WR",43.6,712.1,4.1
"courtland","sutton",0,0,0,0,0,0.5,0.2,0,0.1,99.6,"WR",48.7,730.5,4.5
"mohamed","sanu",0,0,0,0,0,3.7,24.4,0.1,0.5,97.4,"WR",60,731.8,3.7
"michael","gallup",0,0,0,0,0,0,-0.2,0,0.1,95.6,"WR",46,701,4.3
"tyrell","williams",0,0,0,0,0,0.6,3.9,0,0.5,93.3,"WR",50.3,710.1,3.8
"donte","moncrief",0,0,0,0,0,0,0,0,0.4,92.9,"WR",49.6,667.1,4.5
"geronimo","allison",0,0,0,0,0,0,0,0,0.5,92.2,"WR",50.8,685.8,4.1
"john","brown",0,0,0,0,0,0.8,2.7,0,0.1,90.8,"WR",43.1,644.7,4.4
"marquez","valdes-scantling",0,0,0,0,0,1.8,15,0,0.4,90.6,"WR",47.8,671.8,3.8
"jamison","crowder",0,0,0,0,0,2.9,18.4,0,0.5,90.5,"WR",55.7,664.5,3.9
"ted","ginn",0,0,0,0,0,8.6,57,0.3,0.4,90.4,"WR",43.3,617.1,3.7
"devin","funchess",0,0,0,0,0,0,0,0,0.4,90.1,"WR",46.6,590.8,5.3
"albert","wilson",0,0,0,0,0,6.8,28.7,0.1,0.4,85.1,"WR",47.9,596.2,3.8
"daesean","hamilton",0,0,0,0,0,0,0,0,0.4,84.8,"WR",57,625.5,3.9
"anthony","miller",0,0,0,0,0,3.3,15.1,0,0.4,84.7,"WR",43.1,568.1,4.5
"marqise","lee",0,0,0,0,0,2.2,16.3,0,0.4,83.3,"WR",51.8,644.9,3
"devante","parker",0,0,0,0,0,0,0,0,0.1,83.1,"WR",48.7,635.6,3.3
"james","washington",0,0,0,0,0,0,0,0,0.4,83,"WR",43,617.9,3.7
"marquise","goodwin",0,0,0,0,0,3.1,18.6,0,0.1,82.2,"WR",36.1,568.1,3.9
"keke","coutee",0,0,0,0,0,4.4,15.7,0.1,0.5,81.9,"WR",55,608.6,3.4
"d.k.","metcalf",0,0,0,0,0,0.7,4,0,0.6,81.9,"WR",39.2,548.1,4.7
"golden","tate",0,0,0,0,0,2.2,16.5,0,0.5,81.5,"WR",54.4,613.8,3.2
"marquise","brown",0,0,0,0,0,5.6,37.2,0,0.8,76.8,"WR",37.2,543.2,3.3
"paul","richardson",0,0,0,0,0,1.8,11.8,0,0.1,76.4,"WR",39.3,573,3
"adam","humphries",0,0,0,0,0,1.8,10.3,0,0.4,75.6,"WR",52,572.6,3
"zay","jones",0,0,0,0,0,0.6,4.2,0,0.4,75.5,"WR",40.7,517.2,4
"robert","foster",0,0,0,0,0,0,0,0,0.1,74.6,"WR",32.7,536.7,3.5
